name,x,y
Ukraine,211,-97
France,-82,-147
Spain,-152,-217
Sweden,52,22
Germany,4,-94
Finland,107,71
Norway,2,35
Poland,77,-80
Italy,25,-221
United Kingdom,-91,-48
Romania,143,-163
Belarus,149,-50
Greece,129,-259
Bulgaria,158,-208
Iceland,-130,138
Portugal,-222,-203
Czech Republic,44,-113
Denmark,4,-26
Hungary,87,-150
Serbia,103,-189
Austria,45,-144
Ireland,-139,-35
Lithuania,109,-35
Latvia,113,-10
Croatia,69,-191
Bosnia and Herzegovina,92,-205
Slovakia,84,-126
Estonia,119,14
Netherlands,-35,-66
Switzerland,-24,-153
Moldova,180,-138
Belgium,-50,-92
Albania,94,-244
Macedonia,118,-225
Slovenia,43,-169
Montenegro,90,-216
Cyprus,278,-292
Luxembourg,-31,-109
Faroe Is.,-83,77
Andorra,-96,-198
Malta,49,-296
Liechtenstein,17,-152
Monaco,-33,-194
Vatican City,18,-233
